title,price,category,gender,img_url,product_url
Decathlon Women's Relaxation Yoga Fleece Sweatshirt - Mottled Grey,"EGP 1,049.00",hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/995781/1.jpg?6625,https://www.jumia.com.eg/decathlon-womens-relaxation-yoga-fleece-sweatshirt-mottled-grey-18759910.html
Decathlon Women's Fitness Sweatshirt 100 - Pink,EGP 699.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/610094/1.jpg?1370,https://www.jumia.com.eg/decathlon-womens-fitness-sweatshirt-100-pink-49001604.html
Decathlon Women's Fitness Hoodie 520 - Pink Quartz,"EGP 1,739.00",hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/610094/1.jpg?1370,https://www.jumia.com.eg/decathlon-womens-fitness-hoodie-520-pink-quartz-49001611.html
Decathlon Women's Cropped Fitness Sweatshirt 520 - Black,"EGP 1,159.00",hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/769149/1.jpg?3151,https://www.jumia.com.eg/decathlon-womens-cropped-fitness-sweatshirt-520-black-94196770.html
LC Waikiki Crew Neck Daisy Duck Printed Long Sleeve Women's Sweatshirt,EGP 329.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/1174331/1.jpg?8608,https://www.jumia.com.eg/lc-waikiki-crew-neck-daisy-duck-printed-long-sleeve-womens-sweatshirt-133471120.html
LC Waikiki Crew Neck Minnie Mouse Printed Women's Sweatshirt,EGP 479.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/6720431/1.jpg?8079,https://www.jumia.com.eg/lc-waikiki-crew-neck-minnie-mouse-printed-womens-sweatshirt-134027629.html
Defacto Woman Oversize Fit Long Sleeve Sweat Shirt - ECRU,EGP 265.60 - EGP 266.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/8781431/1.jpg?9083,https://www.jumia.com.eg/defacto-woman-oversize-fit-long-sleeve-sweat-shirt-ecru-134187846.html
BENAA FASHION Hoodie Cotton Women's Loose half zipper and high collar-PINK,EGP 318.74,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/9939331/1.jpg?0048,https://www.jumia.com.eg/benaa-fashion-hoodie-cotton-womens-loose-half-zipper-and-high-collar-pink-133939980.html
LC Waikiki Daffy Duck Printed Oversize Women's Thick Sweatshirt,EGP 629.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/2830431/1.jpg?7249,https://www.jumia.com.eg/lc-waikiki-daffy-duck-printed-oversize-womens-thick-sweatshirt-134038269.html
BENAA FASHION Hoodie Cotton Women's Loose half zipper and high collar-RED,EGP 318.74,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/9939331/1.jpg?9446,https://www.jumia.com.eg/benaa-fashion-hoodie-cotton-womens-loose-half-zipper-and-high-collar-red-133939974.html
Defacto Woman Fitted Crew Neck Short Sleeve Knitted Pullover,EGP 181.52 - EGP 999.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/3749331/1.jpg?6141,https://www.jumia.com.eg/defacto-woman-fitted-crew-neck-short-sleeve-knitted-pullover-133947357.html
LC Waikiki Printed Oversize Women's Thick Hoodie,EGP 579.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/0201431/1.jpg?2728,https://www.jumia.com.eg/lc-waikiki-printed-oversize-womens-thick-hoodie-134102014.html
Martina Store Brown Hoodie for Women - Comfortable and Trendy,EGP 349.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/109284/1.jpg?2680,https://www.jumia.com.eg/martina-store-brown-hoodie-for-women-comfortable-and-trendy-48290125.html
LC Waikiki Funnel Collar Women's Zipper Sweatshirt,EGP 509.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/7144131/1.jpg?7310,https://www.jumia.com.eg/lc-waikiki-funnel-collar-womens-zipper-sweatshirt-131441796.html
Caesar Women Closed Hoodie With Front Pocket,EGP 199.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/401705/1.jpg?8278,https://www.jumia.com.eg/caesar-women-closed-hoodie-with-front-pocket-50710434.html
Martina Store Short Sweatshirt for Women - White,EGP 299.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/371005/1.jpg?2661,https://www.jumia.com.eg/martina-store-short-sweatshirt-for-women-white-50017312.html
Martina Store Short Sweatshirt - Women - Mint Green,EGP 299.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/371005/1.jpg?4685,https://www.jumia.com.eg/martina-store-short-sweatshirt-women-mint-green-50017322.html
Martina Store Stylish Women Hoodie Round Neck - Green,EGP 299.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/610094/1.jpg?2667,https://www.jumia.com.eg/martina-store-stylish-women-hoodie-round-neck-green-49001675.html
LC Waikiki Funnel Neck Plain Oversize Women's Sweatshirt Tunic,EGP 629.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/8510431/1.jpg?4601,https://www.jumia.com.eg/lc-waikiki-funnel-neck-plain-oversize-womens-sweatshirt-tunic-134015845.html
BENAA FASHION Hoodie Cotton Women's Loose half zipper and high collar-BLACK,EGP 318.74,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/9939331/1.jpg?8374,https://www.jumia.com.eg/benaa-fashion-hoodie-cotton-womens-loose-half-zipper-and-high-collar-black-133939964.html
"BENAA FASHION Women's hoodie with a hood, a rope and a pocket with the NEW YORK print - BROWN",EGP 281.24,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/7178331/1.jpg?3102,https://www.jumia.com.eg/benaa-fashion-womens-hoodie-with-a-hood-a-rope-and-a-pocket-with-the-new-york-print-brown-133871739.html
LC Waikiki Women's Crew Neck Oversized Sweatshirt,EGP 559.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/8831431/1.jpg?1578,https://www.jumia.com.eg/lc-waikiki-womens-crew-neck-oversized-sweatshirt-134138812.html
Martina Store Stylish Women Short Hoodie Round Neck - Red,EGP 149.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/2259331/1.jpg?2409,https://www.jumia.com.eg/martina-store-stylish-women-short-hoodie-round-neck-red-133952278.html
Defacto Woman Relaxed Fit Turtleneck Sleeveless Sweater,EGP 183.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/1838331/1.jpg?3186,https://www.jumia.com.eg/defacto-woman-relaxed-fit-turtleneck-sleeveless-sweater-133838109.html
Caesar Women's oversized hoodie with printed crisscross back,EGP 429.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/6246331/1.jpg?4187,https://www.jumia.com.eg/caesar-womens-oversized-hoodie-with-printed-crisscross-back-133642690.html
Defacto Woman Relax Fit Long Sleeve Pullover - Khaki,EGP 265.60,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/9781431/1.jpg?9838,https://www.jumia.com.eg/defacto-woman-relax-fit-long-sleeve-pullover-khaki-134187998.html
Martina Store Women Hoodie - Fuchsia,EGP 349.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/9304131/1.jpg?6329,https://www.jumia.com.eg/martina-store-women-hoodie-fuchsia-131403994.html
Martina Store Stylish Women Hoodie Round Neck - Cashmir,EGP 299.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/9425331/1.jpg?5519,https://www.jumia.com.eg/martina-store-stylish-women-hoodie-round-neck-cashmir-133524901.html
BENAA FASHION Hoodie Cotton Women's Loose half zipper and high collar-BROWN,EGP 318.74,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/9939331/1.jpg?0055,https://www.jumia.com.eg/benaa-fashion-hoodie-cotton-womens-loose-half-zipper-and-high-collar-brown-133939981.html
Caesar Woman Hoodie With Zipper And Pocket,EGP 299.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/210492/1.jpg?2532,https://www.jumia.com.eg/caesar-woman-hoodie-with-zipper-and-pocket-29401250.html
Martina Store Stylish Women Short Hoodie Round Neck - Blue,EGP 149.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/482483/1.jpg?2697,https://www.jumia.com.eg/martina-store-stylish-women-short-hoodie-round-neck-blue-38428489.html
Defacto Woman Crew Neck Cover-Up Sweat Shirt - Sand,EGP 265.60 - EGP 266.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/4780431/1.jpg?7981,https://www.jumia.com.eg/defacto-woman-crew-neck-cover-up-sweat-shirt-sand-134087479.html
Caesar Womens Oversized hoodie with funny roses print on the back,EGP 429.00,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/6246331/1.jpg?4193,https://www.jumia.com.eg/caesar-womens-oversized-hoodie-with-funny-roses-print-on-the-back-133642693.html
BENAA FASHION Hoodie Cotton Women's Loose half zipper and high collar-BABY BLUE,EGP 318.74,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/9939331/1.jpg?0044,https://www.jumia.com.eg/benaa-fashion-hoodie-cotton-womens-loose-half-zipper-and-high-collar-baby-blue-133939979.html
Martina Store Women Sweatshirt - Stylish White Color,EGP 399.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/326873/1.jpg?2696,https://www.jumia.com.eg/martina-store-women-sweatshirt-stylish-white-color-37862360.html
Martina Store Stylish Women Hoodie - Blumine,EGP 349.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/109284/1.jpg?2682,https://www.jumia.com.eg/martina-store-stylish-women-hoodie-blumine-48290133.html
Stylish Women Hoodie Round Neck - Blumine,EGP 299.99,hoodies_sweatshirts,women,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/077874/1.jpg?6229,https://www.jumia.com.eg/generic-stylish-women-hoodie-round-neck-blumine-47877054.html
